date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2013-05-05;CO-CUN;10;1;0;5;1;2;57
2013-05-12;CO-CUN;7;0;0;4;3;1;70
2013-05-19;CO-CUN;4;2;0;2;1;1;43
2013-05-26;CO-CUN;8;1;0;3;4;1;63
2013-06-02;CO-CUN;8;0;0;4;3;1;41
2013-06-09;CO-CUN;6;0;0;5;3;0;47
2013-06-16;CO-CUN;4;0;0;3;2;1;23
2013-06-23;CO-CUN;8;0;0;4;0;1;60
2013-06-30;CO-CUN;7;1;0;5;2;0;45
2013-07-07;CO-CUN;4;0;0;4;3;2;61
2013-07-14;CO-CUN;7;3;0;4;2;1;61
2013-07-21;CO-CUN;4;0;0;5;2;1;72
2013-07-28;CO-CUN;7;1;0;4;2;0;60
2013-08-04;CO-CUN;5;0;0;4;0;1;47
2013-08-11;CO-CUN;6;0;0;2;3;1;100
2013-08-18;CO-CUN;6;0;0;3;1;1;78
2013-08-25;CO-CUN;4;1;0;3;1;1;55
2013-09-01;CO-CUN;5;0;0;4;1;2;43
2013-09-08;CO-CUN;4;0;0;4;1;1;54
2013-09-15;CO-CUN;5;1;0;5;2;0;56
2013-09-22;CO-CUN;8;0;0;5;2;1;69
2013-09-29;CO-CUN;8;0;0;3;4;1;75
2013-10-06;CO-CUN;3;1;0;5;1;1;36
2013-10-13;CO-CUN;5;1;0;4;2;1;68
2013-10-20;CO-CUN;8;0;0;3;1;1;34
2013-10-27;CO-CUN;5;1;0;4;1;2;58
2013-11-03;CO-CUN;6;0;0;4;0;1;60
2013-11-10;CO-CUN;9;2;0;4;1;2;69
2013-11-17;CO-CUN;8;1;0;5;1;1;41
2013-11-24;CO-CUN;5;1;0;5;2;1;54
2013-12-01;CO-CUN;100;100;0;0;78;0;0
2013-12-08;CO-CUN;0;0;0;0;0;100;0
2013-12-15;CO-CUN;0;0;0;0;100;0;0
2013-12-22;CO-CUN;0;0;0;0;0;0;0
2013-12-29;CO-CUN;0;0;0;100;0;0;0
2014-01-05;CO-CUN;0;0;0;0;0;34;0
2014-01-12;CO-CUN;0;0;0;0;0;0;0
2014-01-19;CO-CUN;0;0;0;63;73;0;38
2014-01-26;CO-CUN;0;0;0;0;0;0;0
2014-02-02;CO-CUN;0;0;0;0;100;100;0
